method,target_tokens,k,hit_rate,avg_first_hit_rank,avg_query_latency_ms,num_chunks,chunk_build_time_s,index_build_time_s,avg_chunk_tokens,p95_chunk_tokens
recursive,5000,7,0.7333333333333333,1.9090909090909087,0.0939528147379557,46,0.1299006938934326,2.286592960357666,3851.130434782609,4930.25
recursive,5000,9,0.8666666666666667,3.0,0.0761826833089192,46,0.1299006938934326,2.286592960357666,3851.130434782609,4930.25
semantic,5000,3,0.6,1.4444444444444444,0.0949064890543619,114,74.58998084068298,5.281519889831543,1554.2631578947369,1825.6
semantic,5000,5,0.6666666666666666,1.8,0.0617822011311849,114,74.58998084068298,5.281519889831543,1554.2631578947369,1825.6
semantic,5000,7,0.6666666666666666,1.8,0.0822861989339192,114,74.58998084068298,5.281519889831543,1554.2631578947369,1825.6
semantic,5000,9,0.6666666666666666,1.8,0.0810464223225911,114,74.58998084068298,5.281519889831543,1554.2631578947369,1825.6
sentence_pack,5000,3,0.7333333333333333,1.2727272727272727,0.0868797302246093,45,0.2330036163330078,2.309377193450928,3936.844444444445,4949.4
sentence_pack,5000,5,0.7333333333333333,1.2727272727272727,0.0810782114664713,45,0.2330036163330078,2.309377193450928,3936.844444444445,4949.4
sentence_pack,5000,7,0.7333333333333333,1.2727272727272727,0.0700791676839192,45,0.2330036163330078,2.309377193450928,3936.844444444445,4949.4
sentence_pack,5000,9,0.8666666666666667,2.3846153846153846,0.08087158203125,45,0.2330036163330078,2.309377193450928,3936.844444444445,4949.4
fixed,7000,3,0.6666666666666666,1.6,0.0847180684407552,35,0.1040234565734863,1.9461569786071775,5061.257142857143,7000.0
fixed,7000,5,0.7333333333333333,1.818181818181818,0.080108642578125,35,0.1040234565734863,1.9461569786071775,5061.257142857143,7000.0
fixed,7000,7,0.8666666666666667,2.6153846153846154,0.0730832417805989,35,0.1040234565734863,1.9461569786071775,5061.257142857143,7000.0
fixed,7000,9,0.9333333333333332,3.0,0.0804583231608073,35,0.1040234565734863,1.9461569786071775,5061.257142857143,7000.0
fixed_overlap,7000,3,0.7333333333333333,1.4545454545454546,0.0962734222412109,38,0.1335625648498535,2.11669659614563,5472.210526315789,7000.0
fixed_overlap,7000,5,0.8,1.6666666666666667,0.1051266988118489,38,0.1335625648498535,2.11669659614563,5472.210526315789,7000.0
fixed_overlap,7000,7,0.8666666666666667,2.0,0.1009464263916015,38,0.1335625648498535,2.11669659614563,5472.210526315789,7000.0
fixed_overlap,7000,9,0.9333333333333332,2.4285714285714284,0.0946362813313802,38,0.1335625648498535,2.11669659614563,5472.210526315789,7000.0
recursive,7000,3,0.8,1.25,0.0818411509195963,35,0.1493523120880127,1.9552371501922607,5061.428571428572,6955.5
recursive,7000,5,0.8,1.25,0.0890413920084635,35,0.1493523120880127,1.9552371501922607,5061.428571428572,6955.5
recursive,7000,7,0.8666666666666667,1.6153846153846154,0.0765482584635416,35,0.1493523120880127,1.9552371501922607,5061.428571428572,6955.5
recursive,7000,9,0.8666666666666667,1.6153846153846154,0.0949064890543619,35,0.1493523120880127,1.9552371501922607,5061.428571428572,6955.5
semantic,7000,3,0.5333333333333333,1.875,0.0722408294677734,85,72.78467726707458,3.188952207565308,2084.4,2423.8
semantic,7000,5,0.6,2.111111111111111,0.0955581665039062,85,72.78467726707458,3.188952207565308,2084.4,2423.8
semantic,7000,7,0.6,2.111111111111111,0.0969092051188151,85,72.78467726707458,3.188952207565308,2084.4,2423.8
semantic,7000,9,0.6666666666666666,2.8,0.0898202260335286,85,72.78467726707458,3.188952207565308,2084.4,2423.8
sentence_pack,7000,3,0.6666666666666666,1.5,0.080728530883789,35,0.2510204315185547,1.9227209091186523,5061.628571428571,6934.6
sentence_pack,7000,5,0.7333333333333333,1.7272727272727273,0.0813961029052734,35,0.2510204315185547,1.9227209091186523,5061.628571428571,6934.6
sentence_pack,7000,7,0.8,2.083333333333333,0.076754887898763,35,0.2510204315185547,1.9227209091186523,5061.628571428571,6934.6
sentence_pack,7000,9,0.8666666666666667,2.6153846153846154,0.0733375549316406,35,0.2510204315185547,1.9227209091186523,5061.628571428571,6934.6
fixed,10000,3,0.7333333333333333,1.3636363636363635,0.0739574432373046,26,0.0999143123626709,1.3168036937713623,6813.2307692307695,10000.0
fixed,10000,5,0.8,1.6666666666666667,0.0809828440348307,26,0.0999143123626709,1.3168036937713623,6813.2307692307695,10000.0
fixed,10000,7,0.8,1.6666666666666667,0.0847816467285156,26,0.0999143123626709,1.3168036937713623,6813.2307692307695,10000.0
fixed,10000,9,0.9333333333333332,2.642857142857143,0.0789483388264973,26,0.0999143123626709,1.3168036937713623,6813.2307692307695,10000.0
fixed_overlap,10000,3,0.7333333333333333,1.2727272727272727,0.0849405924479166,28,0.1787145137786865,1.5620028972625732,7183.714285714285,10000.0
fixed_overlap,10000,5,0.7333333333333333,1.2727272727272727,0.0976085662841796,28,0.1787145137786865,1.5620028972625732,7183.714285714285,10000.0
fixed_overlap,10000,7,0.8666666666666667,2.076923076923077,0.0971158345540364,28,0.1787145137786865,1.5620028972625732,7183.714285714285,10000.0
fixed_overlap,10000,9,0.9333333333333332,2.5,0.0896930694580078,28,0.1787145137786865,1.5620028972625732,7183.714285714285,10000.0
